"Fecha","Nuevos_casos"
2020-03-10,2
2020-03-11,1
2020-03-12,0
2020-03-13,7
2020-03-14,0
2020-03-15,1
2020-03-16,0
2020-03-17,1
2020-03-18,0
2020-03-19,3
2020-03-20,4
2020-03-21,1
2020-03-22,7
2020-03-23,1
2020-03-24,4
2020-03-25,7
2020-03-26,22
2020-03-27,13
2020-03-28,7
2020-03-29,15
2020-03-30,11
2020-03-31,8
2020-04-01,8
2020-04-02,9
2020-04-03,7
2020-04-04,18
2020-04-05,26
2020-04-06,11
2020-04-07,16
2020-04-08,54
2020-04-09,4
2020-04-10,7
2020-04-11,25
2020-04-12,30
2020-04-13,24
2020-04-14,43
2020-04-15,44
2020-04-16,24
2020-04-17,28
2020-04-18,27
2020-04-19,44
2020-04-20,34
2020-04-21,11
2020-04-22,63
2020-04-23,31
2020-04-24,104
2020-04-25,59
2020-04-26,84
2020-04-27,64
2020-04-28,39
2020-04-29,57
2020-04-30,57
2020-05-01,62
2020-05-02,241
2020-05-03,124
2020-05-04,87
2020-05-05,121
2020-05-06,84
2020-05-07,195
2020-05-08,185
2020-05-09,171
2020-05-10,119
2020-05-11,275
2020-05-12,133
2020-05-13,184
2020-05-14,224
2020-05-15,205
2020-05-16,249
2020-05-17,262
2020-05-18,175
2020-05-19,218
2020-05-20,438
2020-05-21,268
2020-05-22,392
2020-05-23,336
2020-05-24,348
2020-05-25,397
2020-05-26,476
2020-05-27,632
2020-05-28,619
2020-05-29,344
2020-05-30,861
2020-05-31,390
2020-06-01,549
2020-06-02,460
2020-06-03,647
2020-06-04,607
2020-06-05,483
2020-06-06,630
2020-06-07,285
2020-06-08,306
2020-06-09,695
2020-06-10,637
2020-06-11,884
2020-06-12,764
2020-06-13,913
2020-06-14,617
2020-06-15,614
2020-06-16,810
2020-06-17,802
2020-06-18,814
2020-06-19,977
2020-06-20,1036
2020-06-21,876
2020-06-22,1105
2020-06-23,896
2020-06-24,1098
2020-06-25,1016
2020-06-26,920
2020-06-27,1253
2020-06-28,848
2020-06-29,601
2020-06-30,1094
2020-07-01,1008
2020-07-02,1301
2020-07-03,1290
2020-07-04,1253
2020-07-05,1226
2020-07-06,1212
2020-07-07,1036
2020-07-08,1439
2020-07-09,1129
2020-07-10,1452
2020-07-11,1635
2020-07-12,987
2020-07-13,1063
2020-07-14,1617
2020-07-15,1351
2020-07-16,1938
2020-07-17,1946
2020-07-18,2036
2020-07-19,1444
2020-07-20,1409
2020-07-21,1366
2020-07-22,1778
2020-07-23,1117
2020-07-24,1204
2020-07-25,1825
2020-07-26,1148
2020-07-27,1752
2020-07-28,1146
2020-07-29,1207
2020-07-30,1700
2020-07-31,1555
2020-08-01,2004
2020-08-02,1360
2020-08-03,1693
2020-08-04,1515
2020-08-05,1780
2020-08-06,1282
2020-08-07,1468
2020-08-08,1164
2020-08-09,944
2020-08-10,1636
2020-08-11,1693
2020-08-12,1743
2020-08-13,1388
2020-08-14,1491
2020-08-15,1196
2020-08-16,1198
2020-08-17,879
2020-08-18,1796
2020-08-19,2031
2020-08-20,1015
2020-08-21,1370
2020-08-22,992
2020-08-23,722
2020-08-24,999
2020-08-25,851
2020-08-26,1095
2020-08-27,1035
2020-08-28,1280
2020-08-29,945
2020-08-30,614
2020-08-31,630
2020-09-01,669
2020-09-02,661
2020-09-03,853
2020-09-04,799
2020-09-05,661
2020-09-06,528
2020-09-07,835
2020-09-08,704
2020-09-09,1037
2020-09-10,860
2020-09-11,967
2020-09-12,810
2020-09-13,809
2020-09-14,828
2020-09-15,667
2020-09-16,586
2020-09-17,547
2020-09-18,632
2020-09-19,419
2020-09-20,206
2020-09-21,310
2020-09-22,467
2020-09-23,537
2020-09-24,628
2020-09-25,604
2020-09-26,370
2020-09-27,309
2020-09-28,322
2020-09-29,418
2020-09-30,670
2020-10-01,405
2020-10-02,503
2020-10-03,350
2020-10-04,299
2020-10-05,239
2020-10-06,361
2020-10-07,238
2020-10-08,263
2020-10-09,257
2020-10-10,237
2020-10-11,111
2020-10-12,121
2020-10-13,227
2020-10-14,219
2020-10-15,178
2020-10-16,243
2020-10-17,148
2020-10-18,61
2020-10-19,119
2020-10-20,147
2020-10-21,191
2020-10-22,217
2020-10-23,167
2020-10-24,167
2020-10-25,74
2020-10-26,99
2020-10-27,172
2020-10-28,197
2020-10-29,163
2020-10-30,147
2020-10-31,126
2020-11-01,76
2020-11-02,34
2020-11-03,69
2020-11-04,126
2020-11-05,139
2020-11-06,142
2020-11-07,84
2020-11-08,48
2020-11-09,86
2020-11-10,103
2020-11-11,112
2020-11-12,113
2020-11-13,180
2020-11-14,112
2020-11-15,65
2020-11-16,125
2020-11-17,102
2020-11-18,96
2020-11-19,187
2020-11-20,98
2020-11-21,68
2020-11-22,56
2020-11-23,56
2020-11-24,113
2020-11-25,129
2020-11-26,114
2020-11-27,104
2020-11-28,98
2020-11-29,30
2020-11-30,86
2020-12-01,102
2020-12-02,184
2020-12-03,192
2020-12-04,139
2020-12-05,167
2020-12-06,68
2020-12-07,97
2020-12-08,189
2020-12-09,214
2020-12-10,325
2020-12-11,312
2020-12-12,333
2020-12-13,120
2020-12-14,195
2020-12-15,371
2020-12-16,498
2020-12-17,451
2020-12-18,484
2020-12-19,621
2020-12-20,253
2020-12-21,362
2020-12-22,674
2020-12-23,1005
2020-12-24,1057
2020-12-25,469
2020-12-26,759
2020-12-27,494
2020-12-28,751
2020-12-29,1293
2020-12-30,1485
2020-12-31,1752
2021-01-01,861
2021-01-02,1070
2021-01-03,606
2021-01-04,1010
2021-01-05,1597
2021-01-06,1713
2021-01-07,1910
2021-01-08,2263
2021-01-09,1644
2021-01-10,1098
2021-01-11,1392
2021-01-12,1473
2021-01-13,2057
2021-01-14,2198
2021-01-15,2573
2021-01-16,2091
2021-01-17,1503
2021-01-18,1550
2021-01-19,2357
2021-01-20,2655
2021-01-21,2648
2021-01-22,1864
2021-01-23,1732
2021-01-24,1048
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-25,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
2021-01-26,1781
